NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_00003	0	0	0.530443	3.35694
HaLaN_00005	0	0	2.27859	2.644216
HaLaN_00008	0	0	2.037376	4.48378
HaLaN_00011	0	0	2.511133	4.880094
HaLaN_00015	7547.074219	7028.052246	6280.102051	6936.357422
HaLaN_00019	0	0	9.386611	15.136328
HaLaN_00020	59.585102	44.258575	50.541012	44.902027
HaLaN_00023	302.009369	162.545456	180.952606	143.293625
HaLaN_00025	79.214745	66.710159	5.665329	0.614581
HaLaN_00027	0	0	4.7625	7.795664
HaLaN_00029	170.962311	92.703232	66.271912	38.420181
HaLaN_00030	36.82502	106.90271	47.718815	32.600754
HaLaN_00031	958.690857	864.60907	702.751953	491.927521
HaLaN_00033	9.935071	75.568375	10.972383	8.171349
HaLaN_00034	0	0	690.602356	621.475464
HaLaN_00035	50.22105	28.263325	60.486908	51.207867
HaLaN_00039	0	0	3.038443	5.7982
HaLaN_00041	216.256973	102.168289	6.931563	14.840999
HaLaN_00047	56.198479	33.838848	12.672871	27.632082
HaLaN_00052	0	0	50.899918	43.446301
HaLaN_00061	0	0	85.48661	88.54026
HaLaN_00064	0	0	4.73291	1.104099
HaLaN_00068	0	0	41.38208	35.756367
HaLaN_00071	123.363861	255.300247	261.654968	231.937073
HaLaN_00086	0	0	32.554958	46.238106
HaLaN_00087	0	0	26.085562	25.846523
HaLaN_00088	204.720901	190.176437	237.383759	217.685944
HaLaN_00091	0	0	92.516541	106.359634
HaLaN_00093	8986.447266	7298.59668	519.646667	354.016052
HaLaN_00094	0	0	31.116272	28.749697
HaLaN_00098	0	0	17.379375	14.025244
HaLaN_00101	0	0	34.406719	28.15588
HaLaN_00104	134.383636	388.865509	78.301666	82.410461
HaLaN_00107	0	0	2.074659	7.037611
HaLaN_00109	27.230844	19.126495	10.286659	16.512218
HaLaN_00115	6546.810059	6362.786621	27144.8125	30608.595703
HaLaN_00117	0	0	5.12712	4.001417
HaLaN_00121	0	0	9.454008	11.69157
HaLaN_00122	0	0	1.757306	3.338523
HaLaN_00128	0	0	25.621019	20.169346
HaLaN_00129	0	0	5.216882	7.784466
HaLaN_00130	0	0	7.835577	4.611834
HaLaN_00134	0	0	16.509897	5.730437
HaLaN_00137	0	0	5.64691	12.042292
HaLaN_00141	0	0	8.25342	26.306528
HaLaN_00142	0	0	7.423318	4.293416
HaLaN_00143	0	0	5.017403	5.945199
HaLaN_00145	0	0	0.306047	1.681245
HaLaN_00147	476.571564	376.225983	631.688965	734.712402
HaLaN_00150	0	0	25.432156	15.339044
HaLaN_00151	0	0	11.606237	23.261221
HaLaN_00152	153.102921	144.580536	86.907661	85.907219
HaLaN_00156	280.997925	256.540314	249.815033	243.971756
HaLaN_00161	127.379448	106.272758	41.13781	62.479923
HaLaN_00162	113.491241	68.789726	32.742699	46.901657
HaLaN_00164	169.965775	377.255463	44.546272	52.18277
HaLaN_00165	0	0	73.300941	59.279327
HaLaN_00167	0	0	6.741868	7.574904
HaLaN_00169	0	0	7.170289	7.085491
HaLaN_00171	0	0	7.609322	4.261412
HaLaN_00172	0	0	9.509344	11.888799
HaLaN_00175	0	0	7.276789	10.851195
HaLaN_00178	144.604324	175.532181	20.155066	24.041059
HaLaN_00182	0	0	2.767537	0.622711
HaLaN_00188	378.308319	396.40036	507.10556	474.117371
HaLaN_00189	0	0	2.692039	8.929013
