"GFH05524"	"HaLaN_00001"
"HaLaN_t00001"	"HaLaN_t00001"
"GFH05525"	"HaLaN_00002"
"GFH05526"	"HaLaN_00003"
"GFH05527"	"HaLaN_00004"
"GFH05528"	"HaLaN_00005"
"GFH05529"	"HaLaN_00006"
"GFH05530"	"HaLaN_00007"
"GFH05531"	"HaLaN_00008"
"GFH05532"	"HaLaN_00009"
"HaLaN_t00002"	"HaLaN_t00002"
"HaLaN_00011"	"HaLaN_00010"
"GFH05533"	"HaLaN_00011"
"HaLaN_00013"	"HaLaN_00012"
"GFH05534"	"HaLaN_00013"
"GFH05535"	"HaLaN_00014"
"GFH05536"	"HaLaN_00015"
"HaLaN_00017"	"HaLaN_00016"
"GFH05537"	"HaLaN_00017"
"GFH05538"	"HaLaN_00018"
"GFH05539"	"HaLaN_00019"
"GFH05540"	"HaLaN_00020"
"GFH05541"	"HaLaN_00021"
"GFH05542"	"HaLaN_00022"
"GFH05543"	"HaLaN_00023"
"GFH05544"	"HaLaN_00024"
"GFH05545"	"HaLaN_00025"
"GFH05546"	"HaLaN_00026"
"GFH05547"	"HaLaN_00027"
"GFH05548"	"HaLaN_00028"
"GFH05549"	"HaLaN_00029"
"GFH05550"	"HaLaN_00030"
"GFH05551"	"HaLaN_00031"
"GFH05552"	"HaLaN_00032"
"GFH05553"	"HaLaN_00033"
"GFH05554"	"HaLaN_00034"
"GFH05555"	"HaLaN_00035"
"GFH05556"	"HaLaN_00036"
"GFH05557"	"HaLaN_00037"
"GFH05558"	"HaLaN_00038"
"GFH05559"	"HaLaN_00039"
"GFH05560"	"HaLaN_00040"
"GFH05561"	"HaLaN_00041"
"GFH05562"	"HaLaN_00042"
"GFH05563"	"HaLaN_00043"
"HaLaN_00045"	"HaLaN_00044"
"GFH05564"	"HaLaN_00045"
"HaLaN_00047"	"HaLaN_00046"
"GFH05565"	"HaLaN_00047"
"GFH05566"	"HaLaN_00048"
"GFH05567"	"HaLaN_00049"
"GFH05568"	"HaLaN_00050"
"GFH05569"	"HaLaN_00051"
"GFH05570"	"HaLaN_00052"
"GFH05571"	"HaLaN_00053"
"GFH05572"	"HaLaN_00054"
"HaLaN_00056"	"HaLaN_00055"
"GFH05573"	"HaLaN_00056"
